"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1847","User login with wrong email or password","LMS system","Thu Feb 19 12:03:45 UTC 2026","passed","Thu Feb 19 12:03:47 UTC 2026","Authorization","Authentication","",""
"","2757","User login with correct email and password","LMS system","Thu Feb 19 12:03:47 UTC 2026","passed","Thu Feb 19 12:03:50 UTC 2026","Authorization","Authentication","",""
"","1847","User login with wrong email or password","LMS system","Thu Feb 19 12:03:45 UTC 2026","passed","Thu Feb 19 12:03:47 UTC 2026","Authorization","Authentication","",""
"","1473","Navigation from login page to registration page","LMS system","Thu Feb 19 12:03:50 UTC 2026","passed","Thu Feb 19 12:03:52 UTC 2026","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","Thu Feb 19 12:03:57 UTC 2026","passed","Thu Feb 19 12:03:57 UTC 2026","TestUserAuthentication","test_markers","",""
"","1782","Check displaying of dashboard page","LMS system","Thu Feb 19 12:03:55 UTC 2026","passed","Thu Feb 19 12:03:57 UTC 2026","Dashboard","Dashboard","",""
"","1492","Check displaying of empty courses list","LMS system","Thu Feb 19 12:03:51 UTC 2026","passed","Thu Feb 19 12:03:52 UTC 2026","Courses","Courses","",""
"","0","test_password_reset","tests.pytest","Thu Feb 19 12:03:57 UTC 2026","passed","Thu Feb 19 12:03:57 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_critical_login","tests.pytest","Thu Feb 19 12:03:57 UTC 2026","passed","Thu Feb 19 12:03:57 UTC 2026","","test_markers","",""
"","0","test_regression_case","tests.pytest","Thu Feb 19 12:03:58 UTC 2026","passed","Thu Feb 19 12:03:58 UTC 2026","","test_markers","",""
"","0","test_login","tests.pytest","Thu Feb 19 12:03:57 UTC 2026","passed","Thu Feb 19 12:03:57 UTC 2026","TestUserAuthentication","test_markers","",""
"","2136","Create course","LMS system","Thu Feb 19 12:03:53 UTC 2026","passed","Thu Feb 19 12:03:55 UTC 2026","Courses","Courses","",""
"","1641","User login with wrong email or password","LMS system","Thu Feb 19 12:03:47 UTC 2026","passed","Thu Feb 19 12:03:49 UTC 2026","Authorization","Authentication","",""
"","1797","Registration with correct email, username and password","LMS system","Thu Feb 19 12:03:52 UTC 2026","passed","Thu Feb 19 12:03:54 UTC 2026","Registration","Authentication","",""
"","2452","Edit course","LMS system","Thu Feb 19 12:03:55 UTC 2026","passed","Thu Feb 19 12:03:58 UTC 2026","Courses","Courses","",""
"","0","test_forgot_password_link","tests.pytest","Thu Feb 19 12:03:57 UTC 2026","passed","Thu Feb 19 12:03:57 UTC 2026","TestUserInterface","test_markers","",""
